#streetID congestion_degree
11362199 :
11362208 0.0
227501158 0.0
11362208 :
11362199 0.0
11377078 :
11491198 0.0
22890428 0.0
129115592 0.0010295697685781845
11377933 :
148340169 0.0
11378242 :
22824131 0.0
24897859 0.0
11490989 :
22951250 0.0
24468731 0.0
106205316 0.0
106205317 0.0
11490990 :
10140555 0.0011781969500842065
22956185 0.0
121996219 0.0
11491198 :
11355154 0.0
11377078 0.0
23591369 0.0
13274139 :
22871106 0.0
34589691 0.0
13275225 :
8084028 0.0
22970576 0.0
23608249 0.0
13275885 :
22970574 0.0
127726599 0.0
13276440 :
24251536 0.0
182508778 0.0
13276470 :
26445135 0.0
182508779 0.0
13276603 :
100397057 0.0
13276670 :
24252295 0.0
26445058 0.0
13277169 :
13277252 0.0
79575780 0.0
121803861 0.0
13277252 :
13277169 0.0
77840003 0.0
79575780 0.0
99610456 0.0
122377508 0.0
13277499 :
33198095 0.0
35274859 0.005030296400911838
13277625 :
33198116 0.0
190525673 0.0
13277666 :
22951834 0.0
41048651 0.0
190525605 0.0
13277753 :
22951801 0.0
66833118 0.0
190525673 0.0
13277836 :
23173469 0.0
25649567 0.0
216632209 0.0010826362511137553
13278213 :
112319557 0.0
13278244 :
20935775 0.0
33294483 0.0023182089024632287
201039132 0.0
13278327 :
28039968 0.0
41174353 0.0
109373095 0.0
148113077 0.0
13278357 :
41174353 0.0
121455914 0.0
13278378 :
33198165 0.0
190525673 0.0
13279179 :
13277836 0.0
104994564 0.0
121400796 0.0
13279890 :
13279940 0.0
23894682 0.0
23894807 0.0
24876565 0.0
143571776 0.0
13279940 :
13279890 0.0
23894683 0.0
24876564 0.0
48646856 0.0
159083058 0.0
13279979 :
35275276 0.0
48646856 0.0
106746606 0.0
13280171 :
25373198 0.0
106746454 0.0
13280207 :
107254177 0.0
107254180 0.0
108570430 0.0
13280218 :
184686127 0.0
184686128 0.0
13280341 :
23560099 0.0
121482054 0.0
178572413 0.0
13280362 :
24876795 0.0
184686127 0.0
184686128 0.0
184686129 0.0
13855810 :
32763159 0.0
61883620 0.0
228069785 0.0
232133768 0.0
13856339 :
13857306 :
24236153 0.0
31854713 0.0
31854718 0.0
32923148 0.0
231702278 0.0
13857368 :
24210970 0.0
165340085 0.0
206611657 0.0
222016185 0.0
222016367 0.0
222066015 0.0
13857387 :
231819693 0.0
13857487 :
24229633 0.0
165340085 0.0
165340087 0.0
231819688 0.0
231819689 0.0
231819690 0.0
231819691 0.0
231819762 0.0
231820369 0.0
231820370 0.0
231820371 0.0
231820372 0.0
231820373 0.0
231820374 0.0
231820375 0.0
231820376 0.0
231820623 0.0
231820625 0.0
13866194 :
47969677 0.0
164415653 0.0
13866204 :
13866208 0.0
27036648 0.0
27036727 0.0
48958353 0.0
59759848 0.0
13866208 :
13866204 0.0
13866222 0.0
13866221 :
27037045 0.0
83196292 0.0
13866222 :
27037084 0.0
157676057 0.0
13866264 :
8043326 0.0
47969744 0.0
48520555 0.0
48564758 0.0
103268322 0.0
219307210 0.0
13868458 :
33685741 0.0
39541688 0.0
127352055 0.0
127352059 0.0
128514739 0.0
128514741 0.0
225585372 0.0
13869315 :
23716707 0.0
23716802 0.0
124214106 0.0
163717134 0.0
13869340 :
35331219 0.0
124214126 0.0011181384175596996
232714957 7.18634650986428E-4
13869366 :
13869401 0.0
23716803 0.0
23785106 0.0
23785109 0.0
13869401 :
13869366 0.0
13869402 0.0
22905662 0.0
23032260 0.0
23556849 0.0
23785106 0.0
24459541 0.0
24568298 0.0
38236978 0.0
45260875 0.0
48658203 0.024246616294067987
124214106 0.0
203041014 0.0
13869402 :
23556849 0.0
24459541 0.0
48658203 0.0
48658204 0.0
124622221 0.0
13869403 :
8043335 0.0
48658204 0.0
124622221 0.0
13869742 :
13869743 0.0
13869746 0.0
45260881 0.0
13869743 :
13869742 0.0
39416832 0.0
39416833 0.0
107478289 0.0
13869744 :
23502140 0.0
107478289 0.0
107478291 0.0
13869746 :
13869742 0.0
24432675 0.0
24432676 0.0
203083467 0.0
203084050 0.0
13885389 :
27035228 0.0
27036640 0.0
48297859 0.0
58819352 0.0
13885612 :
30103414 0.0
30104103 0.0
190043682 0.0
13886374 :
121897335 0.0
144575865 0.0
13886742 :
28154743 0.0
33236412 0.0
48938528 0.0
104624559 0.0
13887779 :
20901242 0.0
28204027 0.0
48834904 0.0
86976870 0.0
187233978 0.0
13888599 :
15450139 0.0
24187835 0.0
27414045 0.0
13888962 :
15461489 0.0
118709896 0.03201798860157633
128648684 0.0
190349529 0.0
13889246 :
50638987 0.0
231512819 0.0
13889951 :
48204291 0.0
48834906 0.0
185114309 0.0
13891583 :
48443099 0.0
117932178 0.0
129767549 0.0
13891584 :
60007098 0.0
99517969 0.0
203236223 0.0
13891817 :
99254656 0.0
117932639 0.0
121898319 0.0
13891818 :
20882915 0.0
144575865 0.0
144916773 0.0
13892635 :
30032568 0.0
34512137 0.0
15445491 :
20909437 0.0
48391046 0.0
187233975 0.0
187233984 0.0
15446109 :
118709090 0.0
218720705 0.0
218720707 0.0
15446541 :
118709086 0.0
118709099 0.0
118709101 0.0
118709104 0.0
15446892 :
27414045 0.0
86976870 0.0
118709899 0.0
164050021 0.0
15447207 :
10148346 0.0
128524822 0.0
144097907 0.0
144175038 0.0
219333179 0.17632833326665293
15448049 :
15462203 0.0
28193804 0.0
118709097 0.0
118709890 0.0
218720708 0.0
15449659 :
24179242 0.0
28092462 0.0
52577534 0.0
118709088 0.0
144910639 0.0
15450139 :
27414045 0.0
27414159 0.6040020662247514
218720706 0.0
15450768 :
18888065 0.0
24186920 0.0
33281525 0.0
15451990 :
121897335 0.0
201337273 0.0
15451994 :
15460430 0.0
15460961 0.0
54688515 0.0
60007098 0.0
15455037 :
15460428 0.0
44583010 0.0
48832144 0.0
15456328 :
33238119 0.0
33238355 0.0
122224239 0.0
15457375 :
33236392 0.0
48675657 0.0
48832151 0.0
191643763 0.0
15457376 :
44583010 0.0
51083352 0.0
51083389 0.0
201337258 0.0
243309755 0.0
15457378 :
33238355 0.0
48832145 0.0
51083352 0.0
51083389 0.0
15458320 :
33294483 0.0
148359921 0.0
148359923 0.0
15458821 :
125896427 0.0
15458822 :
44583362 0.0
184775527 0.0
184775529 0.0
15458824 :
48443295 0.0
85188434 0.0
